"tweet_id","customer_text","brand_reply_text","my_intent_label","notes"
"352348","I ordered iphone7 128gb from @115850   n I received a China power bank very poor service from Amazon. Order id. 405-0852367-1919537","@199794 Sorry to know you received a different item. We certainly did not expect this to happen. 1/3 ^PS","",""
"859578","@115830 item Q60933485624 meant to be arriving today. Still hasn't turned up. Tried prime for this item. Definitely cancelling this. Poor","@324093 Deliveries can be made up to 21:00. Please keep us updated on its arrival! ^ZW","",""
"723285","Amazonで送り状が文字化けしてた件、荷物がちゃんと届いたのに、今度はなぜか返送されたことになって、返金手続き済みになった……。ミニスーパーファミコンが無料になるクーポンは使った覚えがないんですけど……。(もしかしてAmazon側で別の人と間違って手続きされたのでは……)","@293195 ご迷惑をお掛けしております。本件につきましては状況を確認した上でご案内させていただきますので、誠に恐れ入りますが、以下のリンクよりカスタマーサービスにお問い合わせください。https://t.co/J6YEizo6qC TN","","[EDGE CASE: non_english]"
"227375","@115821 @115851 Worst ever service I hav to cancel order because your customer service itself is not equipped with any process to resolve delayed provision.","@170234 I'll surely forward your comments to the teams internally so they can look into it.(2/2)^HR","",""
"420670","@AmazonHelp Thank you so much to social media and leadership team","@215262 You're most welcome. Have a great day!","",""
"754598","I'm so sad my @33260 book Monstrous Creatures by @300379 is delayed for an unknown reason 😭@115821 I'm disappointed with you.","@300378 Oh no! I know how disappointing this can be! Have you received a new delivery date for this package? ^AL","",""
"965775","Surprised Amazon sharing fake number @116618 @115850 https://t.co/yszW2vDurn","@349188 and we'll be happy to help. 2/2 ^SH","",""
"318838","@AmazonHelp I use to get bookmarks with my every book order but now I don't get any bookmarks","@192064 I'm afraid we can't promise that as inclusion of bookmarks is the ultimate choice of the seller. ^HA","",""
"761865","La plupart des disques que je consulte dans cette catégorie ont des commentaires qui mentionnent des défauts. C'est le deal @120533 ? https://t.co/Z31a0MUya9","@302026 S'il s'agit d'un problème général il aurait été remonté , le stock ne risque pas d'être entièrement impacté . 1/2","",""
"319737","@AmazonHelp Done so already, point of this exchange was that I didn't hear back. Last contact was 5/10. Have sent again.  Annoyed with delayed response.","@162009 How did you contact us? I suggest contacting by phone or chat for a faster response. ^JJ","",""
"779971","@AmazonHelp 出品者様の方に連絡させて頂きました！😭😭","@306232 ご迷惑をおかけしております。出品者販売商品でございましたか。ご連絡に際しお手数をおかけいたしました。出品者からのご連絡をお待ちいただければと存じます。どうぞよろしくお願いいたします。HM","","[EDGE CASE: non_english]"
"791477","@AmazonHelp waiting for 2 parcels, was due for delivery yday, you said you attempted delivery but didn’t, know they’re due on the 17/10/17","@308730 Can you contact us here: https://t.co/JzP7hlA23B? ^MC","",""
"801648","Dear @115850 if the delivery person does not enter the compound of a house how can he claim that there was no one to receive?","@311021 I'm sorry to hear about delivery issues. Did you happen to escalate this to our support team here: https://t.co/T6y6Xlutbs? ^VN","",""
"205742","@AmazonHelp  https://t.co/UVtfoVWHZC","@164747 Thank you for the update. We'd like to look deeper into this with you. Please reach us here: https://t.co/048uISRocf ^GM","","[EDGE CASE: very_short_text]"
"275519","Order # 407-0064336-5796325 Worst experience with Amazon sale. Get faulty I phone 6 which was stop working after 4day. 
@115850 @115850","@181817 Also, please don't provide your order details as its considered personal info. Our Twitter page is visible to public. 2/2 ^AB","",""
"231469","Bought some batteries on @116090  Received them yesterday. Supposed to be guaranteed 5 years. Expire 2020. Amazon sold me old stock. https://t.co/uEGz6Xo50l","@171127 That's strange. Please see your available return or replacement options here: https://t.co/kEwKiYesgE ^CL","",""
"372850","@116439 my FireTV locks up constantly when in YouTube and Auto/4k mode (and actually 4K). No problem when in 1080p","@180859 Oh no! I'm sorry for the trouble. Have you checked the tips located here about Fire TV: https://t.co/vbV7x28ojn? ^TG","",""
"803022","@115821 isn't exactly sure what happened to the book I ordered about feeling left out. While I'm upset, there is a certain poetry about it.","@311351 Jena, we'd never intentionally leave you out! 😊 Do you mind telling us what's going on? No account sensitive info please  ^MW","",""
"766913","@AmazonHelp Could you read your dms? I have a problem and it was too long to tweet.","@303291 Thanks for reaching out. We have responded to your DM's with further assistance. ^TM","",""
"249892","Hi @115850 can I order an home appliance today and get it delivered by end of this month ? #genuinequestion","@175385 Could you specify on which home appliance product you're looking for, Karthik? ^JC","",""
"729722","@115830 I've had a delivery but no delivery note left, it was left in a recycling bag that has now been recycled so I don't have the item?","@294775 Sorry to hear that. We'll be happy to look into that for you. Please reach out to us here: https://t.co/JzP7hlA23B ^RS","",""
"1484058","Delivery date pending https://t.co/eFKBoj7LA7","@446283 Let's take a look into this in real time w/ you here: https://t.co/JzP7hlA23B ^JZ","","[EDGE CASE: very_short_text]"
"1015598","@AmazonHelp @115850 this is highly disappointing that such a big company is responding me in such a amateur way for an intolerable and upsetting issue","@360294 I understand your concern. Kindly connect with us via the above link and we'll investigate. ^SU","",""
"1786619","@AmazonHelp Perfect, thanks for your help x","@536755 Of course! Please let us know if there's anything else we can assist you with. We're always here to help. ^HC","","[EDGE CASE: very_short_text]"
"1061384","@AmazonHelp Qué otras alternativas tengo para enviar lo que necesitan?","@370610 Hola, es necesario seguir las instrucciones especificadas y enviar los datos haciendo uso de los medios establecidos. ^KS","",""
"1136229","@AmazonHelp Hi if I want to return by Hermes collection it asks for the next working day. If I put this request in now, will it be collected on Monday or Tuesday?","@387675 Hello Meg! If you put the request in today, then it will be collected on Monday. 😊 ^JZ","",""
"1043697","@AmazonHelp @115821 @115850 How much more time you need? Its not out for delivery yet?","@366798 Our team is working on your concern. We'll reach out to you shortly. ^GK","",""
"1235861","郵便局のメール便て追跡番号ないよな……密林で頼んだ物が来ないんだけど","@409861 Amazon発送のものでしょうか。注文履歴から配送状況を確認することができますがいかがでしょうか。SK","","[EDGE CASE: non_english]"
"1891410","@AmazonHelp Then how should I provide and contact you, the representatives on the call were not helpful at all.","@564017 Kindly fill in the details and submit. We'll check this and connect with you. ^SG","",""
"1033194","@115850 order processed and shipped ,then cancelled due to payment error. Amount has been deducted from my account.","@364445 I am sorry about the cancellation of your order. However, the refund will be processed to your original payment (1/2)^SF","",""
"1856264","@115850 @115821 The given ph is not reachable or switched off. Guys Come on! I need a # at @115850 to call in @118919 There's no way to reach out https://t.co/a4Fx2XWkdu","@200617 I'm sorry for the trouble in connecting to our delivery person, open the link shared select the order &gt; issue &gt; drop 1/2 ^MJ","",""
"917053","@171152 
9445021712. My order is not yet delivered.","@335913 Please don't provide your order details, as we consider it to be personal information. Our Twitter page is public.​ ^EM","",""
"1252208","@115850 @AmazonHelp I don't nee this item with so much problem. Please do return. Please please....","@413688 I understand your concern is regarding return of your product.(1/2)^VH","",""
"1032340","@115821 @AmazonHelp over 100 hours with customer service. Promised a SMALL chunk of my money back multiple times. Never got it. Seriously?!?","@364258 I'm sorry for the frustration. Without providing any account info, will you let us know more about what's going on? ^KB","",""
"849747","@115850 my order has to be delivered today But it didn't When I tracked it says 'Delay delivery on customer request'which cust requested?","@321916 Sorry for the delay in delivery. Please report this to our support team here: https://t.co/vlvfJr4nN9 and we'll check this. ^HN","",""
"2139322","@AmazonHelp It's more expensive if I do that","@629173 This is due different vendors, different prices. ^TG","","[EDGE CASE: very_short_text]"
"1266375","@AmazonHelp it's tomorrow. But, it's just that the item has been at the nearest warehouse for over 12 hours now.","@125354 Request you to wait and I'm sure the package will be delivered. 2/2 ^MM","",""
"1251313","@160663 @115850 Glad to be Part of the Same !
And Thanks to @115850 for Such Speedy Delivery which made Diwali'17 More Special ! https://t.co/ftLL2T3YOa","@202269 You're welcome. Good to see our hardwork has come to life. #HappyShopping ^SH","",""
"2249790","@AmazonHelp They had me deregister and reregister my device but still doesn't show up on watchlist or by searching for the show.","@655521 Just to confirm, what version Roku are you using? It will need to be version 3 or higher. Details: https://t.co/aIkDb03KDu ^BH","",""
"1128699","Amazonから払込番号のメールが届かない","@386067 ご心配をおかけしております。お支払い番号の発行のタイミングは、商品によって異なります。https://t.co/w7pekJAmOO 恐れ入りますが、お届け予定日を目安にお待ちください。なお、お支払い番号発行後は注文履歴からもご確認いただけます。RI","","[EDGE CASE: non_english]"
"842165","@115821 changed my password  after i made a complaint due to them scamming me out of £7.99 a month prime i neither want or need like wtf?","@320318 Hello- Has the Prime subscription since been canceled for you? ^NV","",""
"1165640","@AmazonHelp Do i need to reply with my visa card  name and billing address or the product delivery and billing address?","@394177 Yes, Suresh.  Please share the other required details as well and our specialist team will get back to you. ^HD","",""
"1206829","@AmazonHelp all 2000 rs gvs bought from Bookmyshow and Giftyr have been locked in Amazon account.  C care doesn't have any info in this","@376220 Kindly share your details here: https://t.co/GIJyeYqKE0 and I'll look into this. ^SG","",""
"2004821","@115821, We ordered the blunt tip and received the pointed tip. I was going to return, but that is an inconvenience. =/ https://t.co/mvSXABixlF","@592849 I'm sorry for the trouble. You can view your available options here: https://t.co/riz3c1mvza ^DG","",""
"878857","@116875 llega ya!😟😟","@328643 Buenas tardes Roberto. ¿Cuál es la fecha de entrega de tu pedido? Me imagino que pediste algo bien chido. ^JJ","","[EDGE CASE: very_short_text]"
"909541","@AmazonHelp But we got cod before now we can't Order with cod","@336038 carry an option for COD kindly opt for any other available mode of payment at checkout. 3/3 ^AB","",""
"900396","Order 402-2999672-7407515
Your courier service is not provide my order today. I want to today.tomorrow i am not in house plz. @115850","@333744 be delivered. Please don’t provide your details as we consider them to be personal information. Our page is public. 2/2 ^SH","",""
"944908","@AmazonHelp Done.","@118701 Thanks for the update. We will check and connect with you accordingly. ^RW","","[EDGE CASE: very_short_text]"
"1055273","@AmazonHelp @115850 @115821 i have already done that awaiting resolution!","@369338 Thank you for replying to the email. We'll get back to you soon. ^AP","",""
"861303","@AmazonHelp And I have the cancellation email that u send out","@324511 We don't charge your payment method until an item ships, but an authorization may be visible: https://t.co/3AXG7Ch8KY ^GG","",""
"2176396","@120533 c'est juste pr info 😁","@637989 Bonjour, 
Bonne lecture :)
^MD","","[EDGE CASE: very_short_text]"
"1353743","Way bill no-  5180749930646
Customer care telling you will get it by evening. Will it come after midnight?. No contact details available at you.

Too bad service. Took Approx 10 days to arrive.. where other courier take 1-2 days only.. @215765  @12339  @AmazonHelp https://t.co/1bOjvVFBbi","@435696 Apologies for the ordeal Sandeep. Please share your details here: https://t.co/GIJyeYqKE0 and I'll get back to you. ^HN","",""
"1645602","What’s up with the Amazon delay in shipping??? Is it just all my packages delayed with no date? #AmazonShippingDelay","@502848 Oh yikes, Jane! Have the orders shipped? Thank you so much for your patience! ^BE","",""
"1095856","アマゾンの予約って金いるんだっけ…","@378606 リプライ失礼いたします、Amazon公式です。お支払い方法は何をご検討されておりますか？HM","","[EDGE CASE: non_english]"
"1109469","配送予定今日なのに未だにこないんですけど。Amazonさんどうなってるんですか","@381828 ご心配をおかけしております。お届け日時指定便以外は、予定日の配送業者の営業時間内(概ね21時ごろまで)のお届けとなります。恐れ入りますが、予定日内いっぱいお待ちください。ET","","[EDGE CASE: non_english]"
"1251741","@115821 #2 got transferred but cannot contact carrier to see where they delivered?  Second screw up in 2 weeks. You need some six sigma help","@413553 I'm sorry for the inconvenience! Who is the carrier show on the tracking info? You can check here: https://t.co/Y5jpI9gRhE ^LJ","",""
"1112102","@AmazonHelp I did check my mailbox and my neighbors porch just Incase it got delivered to the wrong house","@382462 Sorry you didn't get your package. Sometimes carriers accidentally scan early. If you don't see it by tomorrow, let us know!^EB","",""
"842294","@AmazonHelp On the other hand, I see a few significant PROBLEMS.FIRST: AMAZON WEBSITE DISPLAYS IN LISTING THE GOODS ARE AVAILABLE WHEN THEY ARE NOT!!!","@276629 Is there another listing on the website? You may be able to cancel this order and place a new order. ^AF","","[EDGE CASE: all_caps_or_sarcasm]"
"970611","@115850  showing severe lack of professionalism in orders refund claim filed by me. Please find more on this with attached screenshot here https://t.co/URgiN3X6Js","@350312 We would like to help. Please share your details with us here: https://t.co/GIJyeYqKE0. We'll get in touch shortly. (1/2)^CB","",""
"1338554","@AmazonHelp More than one. Did enough follow up, to no avail.","@410957 Sorry to know that, Mehul.  We'd like to take a closer look, please drop in the details here: https://t.co/GIJyeYqKE0 ^MS","",""
"1033099","@115850 while other players in the market update wallets in mins, .@115850 takes 24 hrs to update their wallet - Pay balance!","@364427 The pay balance gets loaded quickly. However, if the transaction is in approval or pending from the banks end, it may take time. ^HA","",""
"1391554","@128308 The user interface for for amazon prime infire tv stick is worst compared to  mobile app","@724655 Thank you for the feedback. I will be sure to pass it internally for a review. ^BS","",""
"1331199","@AmazonHelp Bonsoir, c’est pas pour vous embêter mais aucune nouvelle depuis le 24 octobre ça vous ressemble pas. Il y a un problème?","@123666 Bonsoir, je suis désolée pour ce retard!
L'avez-vous signalé à notre SAV afin qu'il prenne les mesures nécessaires?^FT","",""
"1454505","@120533 j'ai du annuler la commande après avoir lu que les BR vous avaient bien été livrés mais qu'on me signalait toujours une rupture...","@457364 Je suis désolée de l'apprendre. L'article ""Opera [2DVD/BLURAY] [Blu-ray] "" est en rupture de stock. ^SM","",""
"1924026","Amazonプライム会員なんて勝手にお金とるなー","@572696 (2/2)なお、有料会員移行後、特典をご利用されていない場合には、退会とともに年会費を返金いたします。退会をご希望の際には、こちらのヘルプページをご確認のうえ、お手続きください。 https://t.co/wdPTbEULCH ET","","[EDGE CASE: non_english]"
"1350246","@AmazonHelp It says ‘Not yet dispatched’ and it is 8pm local time in Berlin.","@434860 My colleagues will check that: https://t.co/Su5eCHNYlH
I'm sorry for that :/ ^AV","",""
"1370785","@AmazonHelp I continue to have delivery issues with my same day orders after providing detailed instructions. What can I do to fix this?","@439080 I'm sorry for the troubles! Have you noticed if it's with a specific carrier as shown here: https://t.co/Y5jpI9gRhE? ^JM","",""
"1471719","attempted delivery but I was home alone &amp; it was quiet. No noise in the house. Did not hear one knock at the door. Liars! (2 of 2) @115821","@461616 I'm sorry it didn't arrive as expected. Did you finally receive the order? Who's the carrier here: https://t.co/Y5jpI9gRhE? ^MO","",""
"1582035","Epic @115830 @122232 delivery fail... Prime del by 8pm today... with a min to go, changed to Monday 🤬😤🤬 bit late for tonight’s farewell party!!!","@486975 I'm sorry for the wait! If you haven't already, please reach us for your available options: https://t.co/JzP7hlA23B ^DW","",""
"1043038","Amazonで配達しましたってあるサイボーグクロちゃん一巻どう考えてもここに届いてない","@366648 ポストなどに投函されていないか、また、ご家族の方などが受け取られていないかどうかをご確認ください。該当しない場合、Amazonが発送する商品であれば、リンクよりカスタマーサービスにお問い合わせください。https://t.co/J6YEizo6qC TN","","[EDGE CASE: non_english]"
"1396150","@AmazonHelp estimated delivery was on friday didnt recieved even on saturday...
your employee assured me to deliver by saturda 😒","@444666 your details here: https://t.co/8869OJ8kVb and I'll get back to you. 2/2 ^SH","",""
"1489457","@AmazonHelp @AmazonHelp Wenn ich auf den link Drücke komm ich einfach nur auf eure Twitter Seite wie soll mir das bei meinen Problem weiterhelfen?","@465945 Du kommst über den Link eigentlich zum Kundenservice. Versuch es hier: https://t.co/zaP5U8s49q Gruß ^TA","",""
"1314665","@AmazonHelp One more apology mail without any valid RCA.. what do i do now :( 
@115851 @AmazonHelp @115821 highly disappointed #fakeamazon https://t.co/oWsyjMMgKU","@426693 We have responded to this query here: https://t.co/FdaXyJpv19. Please check.^RI","",""
"1519859","@AmazonHelp Is this your fax number? 1-206-922-5821 they are requesting my e-mail address by e-mailing to my e-mail address😬 https://t.co/1d2XIKgW2T","@228192 This fax number is correct, more info about account verification can be found here: https://t.co/ReiZxd3cOj ^GR","",""
"1464309","@AmazonHelp your new tracking method sucks since it does not provide accurate information. Give back the tracking numbers!!","@459879 We'd be glad to assist you with this, Matt! Without posting personal account information, tell us more about your situation. ^FR","",""
"1741020","Hey @115850 why have you cancelled my order? 😡
Order number: 404-6296425-8499511","@525270 On order cancellation, we always send out an e-mail to your registered e-mail with Amazon. 1/2 ^CB","",""
"1714276","My new phone cases didn’t come today like they were SUPPOSED TO @115821 so now I’m crying in the club","@519124 I'm sorry for the delay! What does the latest tracking scan show here: https://t.co/Y5jpI9gRhE? ^AR","",""
"1380688","@AmazonHelp No.","@441383 We'd like to look into this with you real time. Please contact us via phone or chat here: https://t.co/hApLpMlfHN ^AJ","","[EDGE CASE: very_short_text]"
"1753354","@115830 what a waste of money prime is. 2 days I’ve been waiting for ‘next day delivery’ my sons birthday has been ruined thanks a lot 👏🏼","@528145 I'm sorry to hear we let you down! We'd like to see how we can help you so please reach us: https://t.co/JzP7hlA23B ^DD","",""
"1184667","Was weiß eigentlich @115821 was @124285 nicht weiß (bzw. andersrum)? #liefertermin https://t.co/Xxp9JZ7nL4","@398589 Konnten die Kollegen klären, woran die Diskrepanz lag? ^UK","",""
"1623904","@115821 Do you have a customer service phone number? I think my account has been compromised.","@497408 Sorry about your account! Let's get this sorted together here: https://t.co/wsuFicYmIH  ^JZ","",""
"1502856","Ojalá el día en el que @116928 permita elegir compañía de transporte. https://t.co/h9bb1mUKKw","@468812 Hola Manu, ¿tienes algún pedido pendiente de entrega actualmente? ^LG","",""
"1548193",",@115830 you really need to rethink your packaging. Every time the boxes are damaged. https://t.co/Ur8AUHfUML","@479294 Sorry about this. Please leave feedback here: https://t.co/fxgZ6hTrFA to avoid this happening again ^KM","",""
"28918","@AmazonHelp Inconimg option not availble on the mail id","@122366 Kindly reply to the email you've received from our account specialist team for further assistance on this issue. (2/2) ^RI","",""
"24943","@115850 
I have ordered one black and grey backpack of Polestar and I received complete pink backpack which I never ordered","@121399 I'm sorry you received a wrong item. Please contact us via https://t.co/TxK11znixD and we'll look into this for you. ^AR","",""
"1616057","@115830 Is there even any point having a prime membership? Every order late recently. May as well cancel as things don't come any quicker","@495593 So sorry for the frustrations! Have you noticed this with a specific carrier? We are here to help! ^AD","","[EDGE CASE: multiple_issues]"
"62195","@115821 I'm home alone with a two year old. Delivery person left these downstairs ? Mind you they're heavy and there's an elevator! https://t.co/e44bZxEPhn","@130243 I'm sorry for the frustration! We'd like to better understand what happened, is this an apartment hallway or mail room? ^CC","",""
"19455","@115850 false commitment on delivery, also mentioned wrong information, delivery guy never contacted me on Tuesday. How could u do that? https://t.co/UG4a7DfhhL","@120321 Please share your details from the link here: https://t.co/tQhzfEpRzL assist you accordingly. (2/2)^HR","",""
"33182","@AmazonHelp Una persona me dio largas, otro me dijo q confiara y otro me dijo sentir vergüenza y me recomendó comprar otros disfraces.","@123023 ¿Podrías confirmarnos si es vendido y gestionado por Amazon o es vendido por un vendedor externo? ^DA","",""
"1423465","@AmazonHelp Thanks the pick up has been done","@450788 Glad to hear the pick up is completed. I'll be sure to pass your comments to our concerned team. ^GS","","[EDGE CASE: very_short_text]"
"2089287","@AmazonHelp Hi , to quote the email “Arriving: Monday, November 6” and used prime One-Day Delivery option. Thanks","@617609 Do you know who the carrier is and if tracking was provided? If so when was the last delivery scan? ^KI","",""
"1519832","@AmazonHelp Comment puis-je contacté le SAV ? :)","@472501 Vous pouvez le faire via le lien suivant:  https://t.co/hgIrz98cdI ^BR","",""
"1322525","@115851 you should work on asking peoples permission before your company @115850 takes money out of accounts for something Idid notbuy","@428654 That's strange. We're so sorry about this. Please report this to our support team here: https://t.co/vlvfJr4nN9 1/2 ^RS","",""
"2643956","Apparently the blush I accidentally double ordered on @115821 was a 2pack 😂🤷‍♀️ #blushfordays #oops https://t.co/pGC3ykyVaZ","@746012 It happens to the best of us! If you'd like to return one set, you can do so here: https://t.co/ksF1vnNskV ^KB","",""
"1727856","@AmazonHelp I had a delivery about a week ago while I was away (shipping no. Q27006479623) &amp; I’ve returned to find just an empty envelope...","@522507 Sorry to hear it Charlotte- Have you reported this to us directly via: https://t.co/JzP7hlA23B ^NV","",""
"2435985","@115823  Hey why are payments from Oct,22,2017 still pending a ENTIRE WEEK. Support has been worthless doing nothing to help.","@698904 We'd like to help! Do you mind telling us what insight we've been able to provide so far? Keep us posted! ^NM","",""
"1425670","Hey @115850 where is my order!! Is it coming from Mars? Kindly Update Please😏 
THANKYOU 🙏 https://t.co/k5t4ikCVDw","@451210 your details here: https://t.co/z7AERoEa2V and I'll get back to you. 2/2 ^SH","",""
"1626668","@AmazonHelp I'm totally disappointed to see how @115850 handles customer issues","@498086 us. In order assist you better, request you to reply to that email and we'll have it checked on priority for you. 2/2 ^HS","",""
"1736192","@AmazonHelp still awaiting for order to dispatch and have been told by amazon helpers that it will be with me today. Not convinced!!","@524185 Hi, have you received an email with conflicting info? If not, we'd expect delivery to happen as scheduled. ^TS","",""
"1278087","@AmazonHelp  https://t.co/QrDvbj7tMB","@419100 Quel est le transporteur en charge de la livraison?
^MD","","[EDGE CASE: very_short_text]"
"1664041","I want to tie up with Amazon India for delivery dealership how can I do that any one?#Amazon #amazonindia ,#amazonin","@507170 Kindly connect with our support team here: https://t.co/HQhpS2qeEd. We'll assist you. ^PS","",""
"2304797","Sometimes I regret ordering on Amazon seeing the sheer number of emails I get flooded with, for each product on order. 4 mails for 2 btls of shampoo and a detergent pack on day of delivery alone 😐. Appreciate the updates but this is kinda overkill. 
@115850","@668711 Thanks for bringing this to our attention. I'll be sure to forward your feedback to our team internally to get it reviewed.^HS","",""
"2519221","@118706 &amp; @115821 have 53 minutes to deliver my package ordered w/ #2DayShipping.....I'm guessing it's not going to happen....","@717596 I'm sorry for the wait! What's the latest tracking/delivery date shown in Your Orders here: https://t.co/Y5jpI9gRhE? ^JM","",""
"1506321","Die @116316 #Cybermonday Woche ist erst wenige Stunden alt und das erste Weihnachtsgeschenk für die Frau ist schon gekauft 👍","@469581 Das freut uns zu lesen, dass du bereits was gefunden hast 👌 Dann kann Weihnachten ja kommen und vielleicht findest du ja noch mehr für deine Lieben 😉 Viele Grüße ^TR","",""
"2418861","@115830 hi, how do i email amazon direct re below? Cannot find the order on a list to email. https://t.co/aKsSt8nJce","@187112 Hi there, sorry about the issue with your order. We'd like to help! When you have a moment, contact us here: https://t.co/JzP7hlA23B ^VF","",""
"640127","@119356 @AmazonHelp Hello Order 402-2352328-8093916
Was damaged in transit by amazon and now you have canx. This order w/o offering replacement. I will lose my disc. Advantage if I reorder this separately as this was under subscribe and save. Can you please help me resolve this","@271852 We've responded to you over DM. Kindly check it and please don’t provide your order details as we consider them to be personal information. Our page is visible to the public. ^SC","",""
"660946","@AmazonHelp Well, that's two people who answered the phone and then hung up on me. Is the phone system broken also? At least the second person talked to me long enough to let me describe the problems.","@277468 Our team would like to take a closer look at what's been going on. When you have a moment, please send us as much detail on the issue you're seeing with your Fire Tablet via this link: https://t.co/SEB7Aekpfj ^TN","",""
"2803364","知らぬ間に
プライムの会員になって
400円引き落とされてる

ポチ詐欺みたいな感じだ","@781977 プライムビデオやプライムミュージック等数多く特典がございますが、継続利用不要で、Amazonプライム特典のご利用がない場合は、会員登録キャンセル時に会費が全額返金されます。詳しくはこちらをどうぞ→https://t.co/9tQT1Jh8Tw SK","","[EDGE CASE: non_english]"
"676190","Acabo de gastar R$ 469,50 (quatrocentos e sessenta e nove reais e cinquenta centavos) em 31 (trinta e um) livros. Faça a conta, é menos de R$ 16,00 (dezesseis reais) por livro! Obrigada @117086","@281294 Que emoção Gio! Você aproveitou mesmo as nossas promoções ❤️. Conta para gente qual é seu gênero literário favorito? ^AZ https://t.co/w1BmuXitcF","",""
"2795263","Sabe quem tá feliz? Euzinha! Obrigada @117086 pela entrega em incríveis 24h.

Acho que nunca recebi nada tão rápido 😍 https://t.co/VebPbnOOw6","@155078 Oi Fernanda! Quanta felicidade! Adoramos....Qual deles você vai ler de primeiro? 😍📚👏 ^JJ https://t.co/VOsOHnqaYv","",""
