"tweet_id","customer_text","silver_intent","silver_confidence","label_source"
"2774188","@AmazonHelp Bonjour, j'ai trois colis qui sont toujours pas arrives au point relais. (ils sont deja envoyes a l'aubervilliers 15 nov.  MERCI https://t.co/lEj4EOEqta","other","low","heuristic_bootstrap"
"2290417","@115850 getting such messages, looks like fraud. https://t.co/pmgaY7hEvo","general_complaint","medium","heuristic_bootstrap"
"1544542","@115850 problem with your Subscribe &amp; Save. Call back and resolve.","other","low","heuristic_bootstrap"
"1777647","@117086 Recebi um e-mail falando que houve uma tentativa de entrega dos meus livros, porém, estava o dia todo em casa ontem e não apareceu ninguém, tá inventando história agora igual os correios amazon?","other","low","heuristic_bootstrap"
"1735389","@AmazonHelp Danke! Mit dem Kollegen telefoniert. Alles wird gut.","other","low","heuristic_bootstrap"
"2452898","@AmazonHelp Alles klar. Vielen Dank für die schnelle Hilfe! 👍","other","low","heuristic_bootstrap"
"1225682","@115821 This reply is yours?

@115821 
@AmazonHelp https://t.co/a7U3posEJZ","other","low","heuristic_bootstrap"
"1440600","Vielen dank @116316 ... Es wurde immer schön alles per Bankeinzug abgebucht, und auf einmal darf ich nicht mehr per Bankeinzug zahlen!? 😡😡","other","low","heuristic_bootstrap"
"156741","Can anyone help @116935 for iOS stops downloading tracks when I open another app. Then restarts from scratch when I go back to it. Am I doing something wrong? The tracks are unlimited content that I want to use offline. Thanks.","other","low","heuristic_bootstrap"
"2135640","@118919 I bought a TV (TCL 139.7 cm (55 inches) L55P2MUS from Amzon. Amazon  suppose to give 24 inch TV as a bundle offer,  i following up with them since Sept 20th, Not received any fruitful answer, Everytime  asking 3/4 days after that no response. Amazon cheating people","other","low","heuristic_bootstrap"
"2061655","@AmazonHelp Ya está reportado. Aunque siendo domingo, no espero contestación hasta mañana..
Entiendo que este fin de semana hay sobrecarga, trabajo en el sector y se lo que es.Pero es de lógica que no se puede entregar un pedido un domingo en una empresa y menos dos días antes de lo indicado","other","low","heuristic_bootstrap"
"444406","@AmazonHelp Su garantía de la A a la Z no resuelve mi problema. El vendedor ha constado a mi email, y el problema es tan sencillo como realizar una llamada a la empresa que lo distribuye en España y cambiar la dirección. No entiendo que problema tienen en darme un número de contacto.","other","low","heuristic_bootstrap"
"585779","@115830 hello. Do you know why my package today has been delivered to no. 14 when we have a nominated safe place?","other","low","heuristic_bootstrap"
"2973873","@116313 『公民権運動の歩兵たち』という書籍が在庫切れになっています。一刻も早い入荷を期待します。","other","low","heuristic_bootstrap"
"28425","@AmazonHelp Yes I am. Your rep said he would call me back last Friday and still hasn't. Order still unresolved. Spent three hours on this @115821","other","low","heuristic_bootstrap"
"350301","@AmazonHelp Thanks","other","low","heuristic_bootstrap"
"862516","@115850 ordered a one plus 5 on 5th, vch ws scheduled for delivery on 9th, revised to 13th &amp; still no sign of delivery.Pathetic response","delivery_delay_or_non_delivery","high","heuristic_bootstrap"
"1342572","F you @115821 you lost my corgi onesie and now Halloween is ruined","other","low","heuristic_bootstrap"
"2924598","@AmazonHelp AMZL US?","other","low","heuristic_bootstrap"
"581186","@AmazonHelp Ya I get my order before that but I haven't get the cashback that's why I am calling your customer service","billing_charge_dispute","high","heuristic_bootstrap"
"2697169","@115850 Now you guys have even stopped replying to my tweets, horrible!","general_complaint","medium","heuristic_bootstrap"
"519706","@AmazonHelp No I haven’t received any mail actually ...","other","low","heuristic_bootstrap"
"1887376","@AmazonHelp ""Livraison prévue aujourd'hui"" sur le site amazon et ""Envoi prêt chez l'expéditeur"" sur chronopost. Personne ne peut me dire où est le colis","other","low","heuristic_bootstrap"
"2422715","@115821 @AmazonHelp Please consider not using @3375, at least in San Francisco. They have lost multiple packages, left on the sidewalk despite having gate code where they're stolen, etc. Reviews: https://t.co/TVd1Evf3yd

Most recent package (outside in the rain): https://t.co/kZxLUyFaxG","other","low","heuristic_bootstrap"
"739052","@AmazonHelp olá com problemas com um pedido feito em pré-venda nº 701-8534912-5082622","other","low","heuristic_bootstrap"
"198029","My @115821 order was delivered like this by their own logistics company. Missing camera and no packing slip yet they say they cannot help!? https://t.co/v5bBV249VM","other","low","heuristic_bootstrap"
"1521824","Amo a @116875 Es la primera vez que me llega un pedido en domingo.","other","low","heuristic_bootstrap"
"387155","@7108 Please check page count, Kindle Edition, B007V65OAW. 5 pages?","other","low","heuristic_bootstrap"
"2938312","@AmazonHelp Just that it's been delayed and will hopefully arrive by the 5th, just concerned because it said it was out for delivery but then nothing","delivery_delay_or_non_delivery","high","heuristic_bootstrap"
"436405","@AmazonHelp Have u seen the given time, in mid of day (3-6 pm) ? How do working people manage this other than taking leave just they hv to return. Poor","other","low","heuristic_bootstrap"
"2389709","@AmazonHelp @115850 Hi, 

As assured over phone that I will receive refund as amazon pay balance in 2hrs but not received yet. Dissappointed. Please follow whatever you say.","refund_request","high","heuristic_bootstrap"
"1472730","@AmazonHelp I've tried signing out &amp; back in, no difference, the item is not added to my wishlist,  it asks for sign in again, when im already logged in","account_access_security","high","heuristic_bootstrap"
"394435","@AmazonHelp I have received the invite for echo dot. Also i need to purchase mobile. The echo dot invite is expires in 2 days. so plz make it fast.","other","low","heuristic_bootstrap"
"2538148","I am not sure why even @115850 selling Echo devices in India. It's pretty useless as you can't even integrate with their own Fire Stick let go any other device.","general_complaint","medium","heuristic_bootstrap"
"2962669","@AmazonHelp Du tout. Ou est ce possible de le faire ? De plus j’ai un soucis avec ce transporteur qui est récurrent, comment faire pour ne plus avoir a faire à lui ?","other","low","heuristic_bootstrap"
"1369929","@AmazonHelp Bonjour 👋
Alors ça dépend de quel SAV ? Par E-mail ? Sur le site internet ?","other","low","heuristic_bootstrap"
"480393","@AmazonHelp Sí, pero todavía no ha llegado, lo puse para que llegara a la oficina y a las 3:30 me voy :( y tengo poca esperanza en que el repartidor aparezca en una hora la verdad...","other","low","heuristic_bootstrap"
"517660","@AmazonHelp Yeah contacted you guys through chat. Said that new delivery date MIGHT be on Monday. Well lets see what happens on Monday.","delivery_delay_or_non_delivery","high","heuristic_bootstrap"
"710633","Hey @115821 I was just on the phone with 3 different people none of whom understood what I was saying AND you guys arent giving me my jersey","other","low","heuristic_bootstrap"
"345653","My debit card was charged on amazon prime from Washington?? Like how does somebody all the way across the country get my info. This sucks","billing_charge_dispute","high","heuristic_bootstrap"
"2431210","@AmazonHelp Merci bcp, c’est chose faite !","other","low","heuristic_bootstrap"
"451922","Nothing makes me madder than #Amazon's lying bastards they call couriers. Absolutely useless twats. Been sat in house waiting for my parcel. They have NOT attempted delivery. #rant https://t.co/pyB7cxHDs1","delivery_delay_or_non_delivery","high","heuristic_bootstrap"
"816088","@AmazonHelp Hi. Sorry late getting back, I had an email on 22/07/17 stating that auto renew was turned off and no further payments would be taken.","delivery_delay_or_non_delivery","high","heuristic_bootstrap"
"1783419","I don't think my cookbook that was supposed to be delivered today is going to get here and I'm too bothered by it @AmazonHelp","other","low","heuristic_bootstrap"
"1820308","@AmazonHelp コンビニで受け取りたいのですがどうやって設定出来ますか？
あと、コンビニ受け取りだと支払いもそのコンビニで出来ますか？","other","low","heuristic_bootstrap"
"318074","@AmazonHelp I am really disappointed with your services, one month old mobile showing display issues. Is this for what i paid to get defect mobile ?","general_complaint","medium","heuristic_bootstrap"
"1489186","@AmazonHelp ok merci","other","low","heuristic_bootstrap"
"2858121","@AmazonHelp Have to wait for my husband to look that up...it was something he ordered.","other","low","heuristic_bootstrap"
"1362524","When you order a medium corset for your costume and @115821 sends you a 4XL🙃","other","low","heuristic_bootstrap"
"1174737","@AmazonHelp I think 3rd party seller. It says it has left the sellers facility on September 14th but I still haven't gotten anything","other","low","heuristic_bootstrap"
"504996","@115850 .. Status for an undelivered product shows as delivered. How is that possible!! Customer service can only write canned responses. Am now stuck with paying the money and not getting the product!! Extremely frustrating!! Pathetic call center agent responses!!","general_complaint","medium","heuristic_bootstrap"
"2948086","@AmazonHelp Still says arriving today but it’s not even out for delivery yet. Last time this happened my order didn’t show.","delivery_delay_or_non_delivery","high","heuristic_bootstrap"
"565821","@AmazonHelp Is there a way to adjust the page flip sensitivity/functionality? A way to shorten the length of the turn page swipe?","other","low","heuristic_bootstrap"
"963680","@AmazonHelp order ID 405-5153587-4453909,","other","low","heuristic_bootstrap"
"2625949","@AmazonHelp and apparently there’s nothing that can be done","other","low","heuristic_bootstrap"
"2504798","@AmazonHelp 1 par un tiers. C'est donc ça? Pq une différence entre domicile et point de livraison ?
Par ailleurs, je voudrais sortir désactiver Amazon Prime; comment dois-je faire (via l'application si possible)?","other","low","heuristic_bootstrap"
"910744","@115850 why do you charge for next day delivery by 11am when you cant deliver??? You are cheating customers !","delivery_delay_or_non_delivery","high","heuristic_bootstrap"
"2314236","@115850 ??????.......????, https://t.co/38c53aunk3","other","low","heuristic_bootstrap"
"492175","Después de diversas quejas tramitadas con @116928  sigo sin recibir mi paquete, aplazando cada día la entrega un día más por parte de @137605 @135806 . De hecho @137605 ya pasa hasta de responderme sobre el estado del pedido. Una vergüenza.","other","low","heuristic_bootstrap"
"1371819","Kindleアプリで本が読めん
つまらんアップデートしやがって、アマゾンめ
困った","other","low","heuristic_bootstrap"
"450830","gente, uma dica: tenham um Kindle. sério, foi a melhor aquisição desse ano! 🧡 

gratiluz @117804 ✨","other","low","heuristic_bootstrap"
"2171426","@AmazonHelp Worst service I never expected from you","general_complaint","medium","heuristic_bootstrap"
"792065","@AmazonHelp @115850 uve responded but not solved the problem. Infact I spent 20 minutes talk to another half-baked exec @115850","other","low","heuristic_bootstrap"
"26951","@AmazonHelp So if there service is not good then why you are allowing them to sell their products on your portal...You will help me or not","other","low","heuristic_bootstrap"
"2980890","What a fake support @115821 have. Fist you give fake promises to customers and then show your true​ colors @115850

Worst support guys... Worst support. https://t.co/3uhSOcQnYR","general_complaint","medium","heuristic_bootstrap"
"389921","@115821 Wife ordered item that arrived broken. The return is not going well. Already talking to you over the phone. Not really helpful.","wrong_or_damaged_item","high","heuristic_bootstrap"
"1490332","Ok, @115821 , Verzeihung dass ich über Prime Video gemeckert habe. Vielen vielen Dank dafür :D | https://t.co/NddBm43YeQ","other","low","heuristic_bootstrap"
"2309725","@AmazonHelp Ok. Mr. Jabastin promised delivery by 4.15 PM. Mind checking with ur customer support team? So, i need 2hold off everything and lay out the red carpet 4ur delivery 2arrive? Cancelling this order right away. Mr. Shazab, Mr,Jabastin n Mr.Devender know y this order is so imp to me","delivery_delay_or_non_delivery","high","heuristic_bootstrap"
"1095292","@AmazonHelp If you guys are going to""test""someones cc that is on file,u should send the cust an email to let them know I've never hear of this happening","other","low","heuristic_bootstrap"
"2170835","@115823 not sure if you are gonna be responding. Umm.. help please?","other","low","heuristic_bootstrap"
"274621","@115850 ur organization is fraud i purchase 4a and expected delivery date us 4 oct but my phone is not delivered yet","delivery_delay_or_non_delivery","high","heuristic_bootstrap"
"852731","parcel from @115821 half the package was stuck to the book can't get it-Berlin without a travel guide it is then! https://t.co/bGBx7khtLN","other","low","heuristic_bootstrap"
"2383248","@AmazonHelp Seller is at New Delhi, I am in Mumbai, and my local BATA shop which is at Grant Road Est is unable to help me, they @93197 stopped repair services contact amazon only for help. I actually started using shoe after Diwali and before one month of use it has detached from sole","other","low","heuristic_bootstrap"
"2299753","@AmazonHelp No it is not. Shatterproof beaker made of SAN material. That's why I ordered 2 of them bc not glass. One is fine the other box damaged and arrived broken https://t.co/t6dyG268f6","wrong_or_damaged_item","high","heuristic_bootstrap"
"108304","@AmazonHelp Emailed you","other","low","heuristic_bootstrap"
"1157253","@133462 The same situation is happening to @115850 what's happening to these shopping sites","other","low","heuristic_bootstrap"
"1413381","@AmazonHelp Just did that and so far it seemed to help","other","low","heuristic_bootstrap"
"1565064","@AmazonHelp Still ur website accept order for that pin code. 334803.","other","low","heuristic_bootstrap"
"2843694","@AmazonHelp hi, I have ordered a product this afternoon which was prime so instead of it arriving tomorrow it's supposedly coming on Thursday, does this not go against the idea of prime? It's not exactly any benefit to be on prime membership when this happens. 😕","billing_charge_dispute","high","heuristic_bootstrap"
"2580474","@AmazonHelp The estimated delivery date is tomorrow. I just checked.","delivery_delay_or_non_delivery","high","heuristic_bootstrap"
"575403","@115850 r u conducted any tv related survey ?","other","low","heuristic_bootstrap"
"2978238","@12934 
Nice job on the home delivery service, 2 goons @114641 pm drive in the grass up the driveway, not a good look. Shady asf!","delivery_delay_or_non_delivery","high","heuristic_bootstrap"
"205212","@AmazonHelp Obg 🙈💙 Sim, é o meu primeiro","other","low","heuristic_bootstrap"
"2965350","AAAAAAAA CHEGUEI EM CASA E TINHA UMA CAIXA DA AMAZON EM CIMA DA MESA DA COZINHA!!!! AS COMPRINHAS DA BLACK FRAIDAY CHEGARAM❤️❤️❤️❤️ @117086 SUA LINDA, EU ACHEI QUE IAM CHEGAR SÓ SEXTA ❤️❤️❤️📚📚","other","low","heuristic_bootstrap"
"887982","@AmazonHelp So today I got this notification... what is happening? I will get my order or not? My arrival date was scheduled to Sunday 22. https://t.co/NlY7pE8iZJ","other","low","heuristic_bootstrap"
"2613160","yet no resolution provided by @115821 @115850 . It is going to be more than 2 months now. You have kept my 2500 for without any reason. https://t.co/rmqRTqXOrA","other","low","heuristic_bootstrap"
"2336783","Dear @117634,next time you say I can read ‘unlimited’ books with a KU subscription, tell me that doesn’t include #kindleinmotion books","billing_charge_dispute","high","heuristic_bootstrap"
"1163759","When #Amazon Fire 8 #Tablet will be launched in India?
Waiting for the delivery of echo.

#AmazonGreatIndianFestival https://t.co/o5y3vpgDLA","delivery_delay_or_non_delivery","high","heuristic_bootstrap"
"1544578","@115821 @115850 @115823 @AmazonHelp I have submited all information. Os how many days it will take to get my money back into my account https://t.co/xq7Fg7OBPH","refund_request","high","heuristic_bootstrap"
"1739112","@22009 hi just received this from  @amazonhelp does it look like a fake version to you guys ? https://t.co/P8gY5I3UgL","other","low","heuristic_bootstrap"
"2847282","@AmazonHelp No I didn't","other","low","heuristic_bootstrap"
"1209487","@115821 Why you people providing worst product and support in India. I ordered Nokia 6 which is not working and you people not replacing within 10 days replacement warranty. Really down the value and ethics of Amazon","return_replacement_status","high","heuristic_bootstrap"
"1650795","@AmazonHelp Finally, Gati called and said they can't deliver the products. Not acceptable.😠","other","low","heuristic_bootstrap"
"2564017","Last TWO orders from @115830 LATE. And I have Prime! Now this! https://t.co/9Jr4rtQkVo","delivery_delay_or_non_delivery","high","heuristic_bootstrap"
"535796","@AmazonHelp tal vez no entendieron mi inglés??? Se como sea la orden tardo 2 días y el reembolso que se me prometio nunca llego tampoco. 48hrs?? Ya van 72hrs y nada no mientan a los clientes","other","low","heuristic_bootstrap"
"1773833","@AmazonHelp This is all it says on my Galaxy S7 when I try to send a document to the app. However on my tablet and via email it works perfectly fine. https://t.co/ZnRjWUgcTm","other","low","heuristic_bootstrap"
"1219135","@AmazonHelp You only here for patchup mistakes and your reply is also below standards.","other","low","heuristic_bootstrap"
"109789","@117086 Não fala em Black Friday, eu estou zerada, já fiz duas compras.. sem dinheiro, mas mt feliz 😊","other","low","heuristic_bootstrap"
"223887","I’m so irritated with @115821 😩😩 why does it say oct 6 if i order in 2hrs but when I pay it says oct7. Last time I checked oct 7 is 3 days https://t.co/owJ5ND2RaN","other","low","heuristic_bootstrap"
"1262263","@115850 why are you doing this. I ordered an item on 13/10, which is yet not dispatched. For new order u r committing delivery in 2-4 days https://t.co/VZ5naNFeht","delivery_delay_or_non_delivery","high","heuristic_bootstrap"
"394922","@115850 Tracking #: 216273107531.
Being prime member, product is not getting delivered even after 2, 4 business days. #AmazonPrime there is of no use.","delivery_delay_or_non_delivery","high","heuristic_bootstrap"
"1013041","@AmazonHelp It says the item is fulfilled by amazon,everything reguarding returns and shipping is showing me amazon","other","low","heuristic_bootstrap"
"2910347","@AmazonHelp Ca marche. Bonne soiree","other","low","heuristic_bootstrap"
"1118567","Und wenn mir jetzt noch @116316 erklärt, was es mit gebrauchten Reinigungstabletten für die Kaffeemaschine auf sich hat…. 😂","other","low","heuristic_bootstrap"
"2800488","Amazonプライムフォトってrawデータも無制限でいけるのね。","other","low","heuristic_bootstrap"
"2705714","@AmazonHelp @117634 !!!!!‼️‼️","other","low","heuristic_bootstrap"
"74559","@AmazonHelp いつも荷物が届くたびに彼は喜んで箱に飛びついてきます。深さや大きさ、入り心地がマストみたいです🐰💕これからも素敵なダンボールを送ってくれ！と申しておりました。","other","low","heuristic_bootstrap"
"373644","I mean we can get a working cancel button or I can return them next week at your cost @AmazonHelp . Your choice. https://t.co/v7LbQwvg07","other","low","heuristic_bootstrap"
"1108772","@AmazonHelp tell me how to cancel prime subscription. Shopping experience is pathetic wiid u guys. Shud consider @118702","billing_charge_dispute","high","heuristic_bootstrap"
"920520","@115850 @115851 @120033 @120781 Cheat and Fraud happened to me for # 171-3408086-9981949. No resolution till now. https://t.co/teUNevFtDW","general_complaint","medium","heuristic_bootstrap"
"701531","@118919  Hi Team, I am planning to buy Echo for my family in India. How long I have to wait for the invitation letter. Plus I already have prime in USA, should I get one in India also ?","other","low","heuristic_bootstrap"
"2841848","@AmazonHelp __email__ 7984718690 - account on hold from 4 months... connected to customer care 10 times, mailed to cis@amazon, called but no response at all. Worst side of amazon care. everyone ask to wait but no action","account_access_security","high","heuristic_bootstrap"
"2318186","@115821  very poor in refund of batteries and durable product
Order ID 403-3367900-0546721:
1 of 4d Laptop Battery For Acer Aspire One ZG5 A110L A150L A150X A0A110 AOA150 D150 D250 6 Cell Laptop Battery black 
..
.
.
.
I am waiting since last 7 month for refund","refund_request","high","heuristic_bootstrap"
"1574443","@AmazonHelp No. I just keep being told it doesn't exist, end of.","other","low","heuristic_bootstrap"
"2190938","@AmazonHelp Already done that 4 hours ago. Guess service isn't as quick as it is advertised.","other","low","heuristic_bootstrap"
"580663","@115830 Hi! I am having trouble signing into my account. I tried changing the password after I repeatedly got a message that it was incorrect, but even after the change the same thing happened. Can you please help?","account_access_security","high","heuristic_bootstrap"
"2035184","@AmazonHelp I have done, but this needs to be escalated. When your system says it's been 'handed to the resident' but the resident has been in all day waiting for the doorbell to ring, you have a problem with your drivers, or the pressures put on them.","other","low","heuristic_bootstrap"
"896489","@197572 @115850 Shameful not giving winner prize ????","other","low","heuristic_bootstrap"
"273180","@AmazonHelp Very very Worst Experience Shopping With You Worst Servicess After Sale","general_complaint","medium","heuristic_bootstrap"
"2376167","Just to update you @115821, my package has now visited 7 states on its way to me. At this point, I'm hoping to touch 'em all.","other","low","heuristic_bootstrap"
"1447990","Hey, @AmazonHelp, honestly these mustard-colored Windows 95 buttons are not a good look. The German localization also needs some work. 👍 https://t.co/S4k3gHRiHO","other","low","heuristic_bootstrap"
"1774536","So much for watching Your Name today. Amazon delayed my package.","delivery_delay_or_non_delivery","high","heuristic_bootstrap"
"551828","@AmazonHelp That would be helpful if it was someone who spoke English on the other end! They said they had an issue with the delivery company but I had a parcel delivered this morning which was also prime!","delivery_delay_or_non_delivery","high","heuristic_bootstrap"
"206900","@AmazonHelp Can I get some assistance please?","other","low","heuristic_bootstrap"
"2273387","@AmazonHelp Have done all - to include google pin drop","other","low","heuristic_bootstrap"
"570796","@AmazonHelp I’ve been denied access to my seller account and I can’t contact seller support because I don’t have access.","other","low","heuristic_bootstrap"
"900391","So absolutely disappointed in @115821. They are delivering my Prime order late for no reason. No Ducks shirt for the game tomorrow v UCLA :(","delivery_delay_or_non_delivery","high","heuristic_bootstrap"
"2113540","Just used Prime Now to deliver Digiorno pizzas. One small step for man.","other","low","heuristic_bootstrap"
"35861","@123813 ya puedo usar mi cuenta inglesa en Mexico? me quedé viendonuna serie a medias!!","other","low","heuristic_bootstrap"
"2766336","@120465 Androidのアプリから使用させていただいてるのですが、ウォーキング・デッドはダウンロード不可なんですか？ https://t.co/1qV3byiTbx","other","low","heuristic_bootstrap"
"2378235","So I paid for the expedited shipping so it would be here Thursday. It wasn't. I was gone all weekend. When I get back Amazon says it was delivered Friday. BUT IT'S NOT HERE","other","low","heuristic_bootstrap"
"2986041","@115821 PÉSIMO SERVICIO DE AMAZON
Mucho publicitar los envíos de un día y gratuitos... pero a la hora de la verdad... nada de nada!!","other","low","heuristic_bootstrap"
"176377","@AmazonHelp All amazon, I did not placed the order by market place","other","low","heuristic_bootstrap"
"2599092","@AmazonHelp Besides, I no longer want an account with Amazon. Keep it frozen for all I care, or destroy it. All I'm asking is that you not charge me for prime on an account which you have frozen.","other","low","heuristic_bootstrap"
"386191","@AmazonHelp He said I could return the item in the box of the new one, but when he tried to put through an exchange it wouldn't allow him to exchange it","return_replacement_status","high","heuristic_bootstrap"
"2838469","Lul. Paket kam gerade an und ich freu mich voll das auszupacken, plötzlich rutscht der Inhalt einfach raus, weil es nicht richtig geklebt war. Naja ist alles heile. :D

Passt nächstes besser auf Jungs und Mädels bei @116316 !","other","low","heuristic_bootstrap"
"476822","@AmazonHelp La facilidad (solo tener que escanear un código) y la comodidad de poder recogerlo cuando mejor me venga. Seguís ganando puntos ;)","other","low","heuristic_bootstrap"
"710645","@AmazonHelp Take it on urgent.
I will b on traveling from sat. That's why I raised that product.
If not came b4 Friday than it will b disappointment","other","low","heuristic_bootstrap"
"426652","@AmazonHelp Et je les contacte comment svp ?","other","low","heuristic_bootstrap"
"314725","Look, @115821, I don't want to know my Prime acct is being renewed at $99. Just renew it &amp; don't tell me so I think I'm getting free stuff.","other","low","heuristic_bootstrap"
"2809812","@AmazonHelp 一品ずつ注文してるのでまとめて発送などのオプションは表示されません。
Amazonさん側が別々の注文をまとめてると思われますが。","other","low","heuristic_bootstrap"
"758363","@115830 How come you can deliver one parcel at midday, but the same day another in the evening is ""invalid address""?","other","low","heuristic_bootstrap"
"1244955","@115830 Can't help but feel if I had a few more followers and drummed up a bit more fuss Amazon might have felt more inclined to make it right.","other","low","heuristic_bootstrap"
"1950130","@AmazonHelp When you say ‘set up’ please can you elaborate? Presumably it does more than detect compatible devices somehow?","other","low","heuristic_bootstrap"
"2141288","@AmazonHelp salve ho bisogno di sapere delle informazione del perché il mio ordine ancora non è stato spedito,doveva essere spedito il 7! Spero in una vostra risposta","other","low","heuristic_bootstrap"
"2734314","@AmazonHelp No me ha llegado el paquete que tenia que llegar el 18 y aun nada","other","low","heuristic_bootstrap"
"2391897","@AmazonHelp Reply to my dm please","other","low","heuristic_bootstrap"
"1572970","@AmazonHelp Yes you have it was scheduled for delivery today by 8pm and of course it turned to Sunday delivery very typical lately 😒","delivery_delay_or_non_delivery","high","heuristic_bootstrap"
"1478875","@AmazonHelp I am advertising amazon on my website aayushyam.in","other","low","heuristic_bootstrap"
"805559","@AmazonHelp Ok, farei isso. Obrigada","other","low","heuristic_bootstrap"
"914219","@AmazonHelp Have done it, as you instructed but whats the use, have been doing the same from last two days, u r nt doing nething. Cancel my Amazon prime","other","low","heuristic_bootstrap"
"420630","@AmazonHelp 丁寧な説明ありがとうございます","other","low","heuristic_bootstrap"
"814857","@115825 Untertitel lassen sich weder aus- noch umstellen. (2/2)","other","low","heuristic_bootstrap"
"1760366","@AmazonHelp @123967  what the fuuuck. How did you break plastic bins? https://t.co/CI5ONmRExM","other","low","heuristic_bootstrap"
"474218","@AmazonHelp I think this discussion should no longer be in public","other","low","heuristic_bootstrap"
"2897522","@AmazonHelp Thanks but I wasn't sent a returns label and I can't find where to print one!","other","low","heuristic_bootstrap"
